0 2384826,125 690315861754,6964|1 2077335 946875957829,1428|2 2306395 940543430514,8572|3 2117652,625 1024031975341,125|4 2205647,5 1076293778364,8572|5 2060223,375 904021513731,9822|6 2092540,75 979902816417,6428|7 2329653,875 879537132514,6964|8 2140415,75 1052824457060,5
0 2244840,75 985260329668,5|1 1987044,875 897657645373,2678|2 2260261,875 947163707091,2678|3 2080310,375 1087184946120,8392|4 2165717,625 1103783820756,2678|5 1957308,25 799607330894,2142|6 2101699,5 1105426059426|7 2315713,25 769753013605,6428|8 2079257,5 1086043994066
0 2458177,25 1127215508221,3572|1 2173478,25 912755981335,0714|2 2465160,625 1111524727541,9822|3 2310502,5 1224105966516|4 2410066,375 1208051049874,2678|5 2175579,875 920447930936,6964|6 2309749,125 1223450091694,125|7 2553505,875 826399318174,9822|8 2315792,125 1228382234629,2678
0 2399473,625 572826182234,8392|1 2119764,125 778667360213,8392|2 2347940,875 731695024845,5536|3 2081122,5 680573348416,8572|4 2227788,5 889931772021,4286|5 2114145,25 766312040859,9286|6 2191389,75 879257006612,5|7 2306276,25 820201931842,2142|8 2226708,125 890007400277,8392
0 2737680,75 1114396118998,7856|1 2391781,5 1381441507603,1428|2 2603848,5 1509641946979,1428|3 2499201,375 1562003406687,9822|4 2391862,5 1381667088992,8572|5 2309675,125 1083369807811,5536|6 2635539,5 1449343571824,8572|7 2681838,125 1324111525615,2678|8 2493388,625 1558307680167,4106
0 2160344 557901279405,7142|1 1965050,25 554395421803,9286|2 2032044,375 644007098374,5536|3 1987172,875 594197130827,5536|4 2164748,625 548933072152,5536|5 1934633,75 483234716489,6429|6 2102360,875 638752145425,2678|7 2191702,75 485358106429,6429|8 2034070,5 645278861435,1428
0 2474656,25 1101754553026,5|1 2633285 1286714723754|2 2586156,125 1285812764611,5535|3 2625969,875 1289570363585,8394|4 2792870,625 950456937258,5536|5 2476752,125 1107572799334,9822|6 2677767,375 1245650863755,125|7 2795592,875 940176304132,9822|8 2432807,75 966665681952,2142
0 2173682,75 528180282290,5|1 1917580,125 736585147069,5536|2 2078812,375 762713524177,4108|3 1997953,625 816455853417,4108|4 2036372,25 807691889984,7858|5 1862198 604217002604,2858|6 2003613,375 817071808861,125|7 2106431,125 713540738688,125|8 1878021,375 648474632104,5536
0 2082727,375 536658537467,4107|1 1978403,125 519417315773,8393|2 2123701,875 482193768692,4107|3 2018332,25 552463281377,3572|4 2078171,75 540580592825,3571|~|6 2006953,375 546387464423,4107|7 2171538,375 374909879744,8393|8 2012493,125 549678161393,8393
0 2059626,375 275482447801,9821|1 1986201,625 264781231037,98215|2 2063726,625 272810495287,98215|3 2005375,75 278275029724,2143|4 2092960,25 243737108139,07144|~|6 2028572,375 284490263836,8393|7 2102224,5 230855197630,2857|8 2033158,125 284408524808,4107
0 1852329,125 613031097652,9822|1 1603413,875 512923073594,4107|2 1864621,5 584948799950,2858|3 1667830,5 661073406254,2858|4 1784936,625 711755314397,9822|5 1615106,875 546156654266,6964|6 1796834 701117788128,8572|7 1821665,875 669534285949,8392|8 1720057,625 718529145419,4108
0 1962610,125 145863095260,98215|1 1836463,25 176175017959,64285|2 1899061,5 202050147678,85715|3 1895193 202787967894|4 1929935,125 185129156225,26785|~|6 1874118,125 201400497476,98215|7 1922667,875 190876687210,69644|8 1886031,375 203307441193,125
0 1514812,625 624062438920,5536|~|2 1470389,25 697138173675,3572|3 1400686,5 729976194699,1428|4 1438186,75 724730306155,3572|5 1270332,875 523156146310,9821|6 1463801,5 704518416824,8572|7 1476800,375 689098618345,9822|8 1457058,875 711147668438,4108
0 1752580 600855240155,7142|1 1592791,875 603438306503,8392|2 1778373 551203715155,7142|3 1639451,25 656977346388,2142|4 1713013,75 650421204173,9286|~|6 1684339,625 666215842084,8392|7 1763985,5 580587503720|8 1642176,75 658720264702,5
0 1597715,875 501191976055,2679|1 1454716,875 399813488714,9821|2 1633912 460138170783,1429|3 1577683,875 512326923511,2679|4 1553928,25 514832453035,6429|~|6 1619102,125 480193367112,4107|7 1641234,875 448554638929,2679|8 1574389,625 513367678737,4107
